,wins,losses,made_finals,year,team,seed
0,63,19,False,1990,LAL,0
1,59,23,True,1990,DET,1
2,59,23,True,1990,POR,2
3,56,26,False,1990,SAS,3
4,55,27,False,1990,CHI,4
5,55,27,False,1990,UTA,5
6,54,28,False,1990,PHO,6
7,53,29,False,1990,PHI,7
8,52,30,False,1990,BOS,8
9,47,35,False,1990,DAL,9
10,45,37,False,1990,NYK,10
11,44,38,False,1990,MIL,11
12,43,39,False,1990,DEN,12
13,42,40,False,1990,CLE,13
14,42,40,False,1990,IND,14
15,41,41,False,1990,ATL,15
16,41,41,False,1990,HOU,16
17,41,41,False,1990,SEA,17
18,37,45,False,1990,GSW,18
19,31,51,False,1990,WSB,19
20,30,52,False,1990,LAC,20
21,23,59,False,1990,SAC,21
22,22,60,False,1990,MIN,22
23,19,63,False,1990,CHH,23
24,18,64,False,1990,MIA,24
25,18,64,False,1990,ORL,25
26,17,65,False,1990,NJN,26
27,63,19,False,1991,POR,0
28,61,21,True,1991,CHI,1
29,58,24,True,1991,LAL,2
30,56,26,False,1991,BOS,3
31,55,27,False,1991,PHO,4
32,55,27,False,1991,SAS,5
33,54,28,False,1991,UTA,6
34,52,30,False,1991,HOU,7
35,50,32,False,1991,DET,8
36,48,34,False,1991,MIL,9
37,44,38,False,1991,GSW,10
38,44,38,False,1991,PHI,11
39,43,39,False,1991,ATL,12
40,41,41,False,1991,IND,13
41,41,41,False,1991,SEA,14
42,39,43,False,1991,NYK,15
43,33,49,False,1991,CLE,16
44,31,51,False,1991,LAC,17
45,31,51,False,1991,ORL,18
46,30,52,False,1991,WSB,19
47,29,53,False,1991,MIN,20
48,28,54,False,1991,DAL,21
49,26,56,False,1991,NJN,22
50,26,56,False,1991,CHH,23
51,25,57,False,1991,SAC,24
52,24,58,False,1991,MIA,25
53,20,62,False,1991,DEN,26
54,67,15,True,1992,CHI,0
55,57,25,False,1992,CLE,1
56,57,25,True,1992,POR,2
57,55,27,False,1992,GSW,3
58,55,27,False,1992,UTA,4
59,53,29,False,1992,PHO,5
60,51,31,False,1992,BOS,6
61,51,31,False,1992,NYK,7
62,48,34,False,1992,DET,8
63,47,35,False,1992,SAS,9
64,47,35,False,1992,SEA,10
65,45,37,False,1992,LAC,11
66,43,39,False,1992,LAL,12
67,42,40,False,1992,HOU,13
68,40,42,False,1992,IND,14
69,40,42,False,1992,NJN,15
70,38,44,False,1992,ATL,16
71,38,44,False,1992,MIA,17
72,35,47,False,1992,PHI,18
73,31,51,False,1992,MIL,19
74,31,51,False,1992,CHH,20
75,29,53,False,1992,SAC,21
76,25,57,False,1992,WSB,22
77,24,58,False,1992,DEN,23
78,22,60,False,1992,DAL,24
79,21,61,False,1992,ORL,25
80,15,67,False,1992,MIN,26
81,62,20,True,1993,PHO,0
82,60,22,False,1993,NYK,1
83,57,25,True,1993,CHI,2
84,55,27,False,1993,HOU,3
85,55,27,False,1993,SEA,4
86,54,28,False,1993,CLE,5
87,51,31,False,1993,POR,6
88,49,33,False,1993,SAS,7
89,48,34,False,1993,BOS,8
90,47,35,False,1993,UTA,9
91,44,38,False,1993,CHH,10
92,43,39,False,1993,ATL,11
93,43,39,False,1993,NJN,12
94,41,41,False,1993,IND,13
95,41,41,False,1993,LAC,14
96,41,41,False,1993,ORL,15
97,40,42,False,1993,DET,16
98,39,43,False,1993,LAL,17
99,36,46,False,1993,DEN,18
100,36,46,False,1993,MIA,19
101,34,48,False,1993,GSW,20
102,28,54,False,1993,MIL,21
103,26,56,False,1993,PHI,22
104,25,57,False,1993,SAC,23
105,22,60,False,1993,WSB,24
106,19,63,False,1993,MIN,25
107,11,71,False,1993,DAL,26
108,63,19,False,1994,SEA,0
109,58,24,True,1994,HOU,1
110,57,25,False,1994,ATL,2
111,57,25,True,1994,NYK,3
112,56,26,False,1994,PHO,4
113,55,27,False,1994,CHI,5
114,55,27,False,1994,SAS,6
115,53,29,False,1994,UTA,7
116,50,32,False,1994,GSW,8
117,50,32,False,1994,ORL,9
118,47,35,False,1994,CLE,10
119,47,35,False,1994,IND,11
120,47,35,False,1994,POR,12
121,45,37,False,1994,NJN,13
122,42,40,False,1994,DEN,14
123,42,40,False,1994,MIA,15
124,41,41,False,1994,CHH,16
125,33,49,False,1994,LAL,17
126,32,50,False,1994,BOS,18
127,28,54,False,1994,SAC,19
128,27,55,False,1994,LAC,20
129,25,57,False,1994,PHI,21
130,24,58,False,1994,WSB,22
131,20,62,False,1994,DET,23
132,20,62,False,1994,MIL,24
133,20,62,False,1994,MIN,25
134,13,69,False,1994,DAL,26
135,62,20,False,1995,SAS,0
136,60,22,False,1995,UTA,1
137,59,23,False,1995,PHO,2
138,57,25,True,1995,ORL,3
139,57,25,False,1995,SEA,4
140,55,27,False,1995,NYK,5
141,52,30,False,1995,IND,6
142,50,32,False,1995,CHH,7
143,48,34,False,1995,LAL,8
144,47,35,False,1995,CHI,9
145,47,35,True,1995,HOU,10
146,44,38,False,1995,POR,11
147,43,39,False,1995,CLE,12
148,42,40,False,1995,ATL,13
